1 2 0 0
15 16 0 0
1 15 2 16
1 2 0 0
15 16 0 0
3 4 0 0
17 18 0 0
3 17 4 18
3 4 0 0
17 18 0 0
5 6 0 0
19 20 0 0
5 19 6 20
5 6 0 0
19 20 0 0
7 8 0 0
21 22 0 0
7 21 8 22
7 8 0 0
21 22 0 0
9 10 0 0
23 24 0 0
9 23 10 24
9 10 0 0
23 24 0 0
11 12 0 0
25 26 0 0
11 25 12 26
11 12 0 0
25 26 0 0
13 14 0 0
27 28 0 0
13 27 14 28
13 14 0 0
27 28 0 0
2 3 0 0
16 17 0 0
2 16 3 17
2 3 0 0
16 17 0 0
4 5 0 0
18 19 0 0
4 18 5 19
4 5 0 0
18 19 0 0
6 7 0 0
20 21 0 0
6 20 7 21
6 7 0 0
20 21 0 0
8 9 0 0
22 23 0 0
8 22 9 23
8 9 0 0
22 23 0 0
10 11 0 0
24 25 0 0
10 24 11 25
10 11 0 0
24 25 0 0
12 13 0 0
26 27 0 0
12 26 13 27
12 13 0 0
26 27 0 0
1 2 0 0
15 16 0 0
1 15 2 16
1 2 0 0
15 16 0 0
3 4 0 0
17 18 0 0
3 17 4 18
3 4 0 0
17 18 0 0
5 6 0 0
19 20 0 0
5 19 6 20
5 6 0 0
19 20 0 0
7 8 0 0
21 22 0 0
7 21 8 22
7 8 0 0
21 22 0 0
9 10 0 0
23 24 0 0
9 23 10 24
9 10 0 0
23 24 0 0
11 12 0 0
25 26 0 0
11 25 12 26
11 12 0 0
25 26 0 0
13 14 0 0
27 28 0 0
13 27 14 28
13 14 0 0
27 28 0 0
2 3 0 0
16 17 0 0
2 16 3 17
2 3 0 0
16 17 0 0
4 5 0 0
18 19 0 0
4 18 5 19
4 5 0 0
18 19 0 0
6 7 0 0
20 21 0 0
6 20 7 21
6 7 0 0
20 21 0 0
8 9 0 0
22 23 0 0
8 22 9 23
8 9 0 0
22 23 0 0
10 11 0 0
24 25 0 0
10 24 11 25
10 11 0 0
24 25 0 0
12 13 0 0
26 27 0 0
12 26 13 27
12 13 0 0
26 27 0 0
1 2 0 0
15 16 0 0
1 15 2 16
1 2 0 0
15 16 0 0
3 4 0 0
17 18 0 0
3 17 4 18
3 4 0 0
17 18 0 0
5 6 0 0
19 20 0 0
5 19 6 20
5 6 0 0
19 20 0 0
7 8 0 0
21 22 0 0
7 21 8 22
7 8 0 0
21 22 0 0
9 10 0 0
23 24 0 0
9 23 10 24
9 10 0 0
23 24 0 0
11 12 0 0
25 26 0 0
11 25 12 26
11 12 0 0
25 26 0 0
13 14 0 0
27 28 0 0
13 27 14 28
13 14 0 0
27 28 0 0
2 3 0 0
16 17 0 0
2 16 3 17
2 3 0 0
16 17 0 0
4 5 0 0
18 19 0 0
4 18 5 19
4 5 0 0
18 19 0 0
6 7 0 0
20 21 0 0
6 20 7 21
6 7 0 0
20 21 0 0
8 9 0 0
22 23 0 0
8 22 9 23
8 9 0 0
22 23 0 0
10 11 0 0
24 25 0 0
10 24 11 25
10 11 0 0
24 25 0 0
12 13 0 0
26 27 0 0
12 26 13 27
12 13 0 0
26 27 0 0
1 2 0 0
15 16 0 0
1 15 2 16
1 2 0 0
15 16 0 0
3 4 0 0
17 18 0 0
3 17 4 18
3 4 0 0
17 18 0 0
5 6 0 0
19 20 0 0
5 19 6 20
5 6 0 0
19 20 0 0
7 8 0 0
21 22 0 0
7 21 8 22
7 8 0 0
21 22 0 0
9 10 0 0
23 24 0 0
9 23 10 24
9 10 0 0
23 24 0 0
11 12 0 0
25 26 0 0
11 25 12 26
11 12 0 0
25 26 0 0
13 14 0 0
27 28 0 0
13 27 14 28
13 14 0 0
27 28 0 0
2 3 0 0
16 17 0 0
2 16 3 17
2 3 0 0
16 17 0 0
4 5 0 0
18 19 0 0
4 18 5 19
4 5 0 0
18 19 0 0
6 7 0 0
20 21 0 0
6 20 7 21
6 7 0 0
20 21 0 0
8 9 0 0
22 23 0 0
8 22 9 23
8 9 0 0
22 23 0 0
10 11 0 0
24 25 0 0
10 24 11 25
10 11 0 0
24 25 0 0
12 13 0 0
26 27 0 0
12 26 13 27
12 13 0 0
26 27 0 0
1 2 0 0
15 16 0 0
1 15 2 16
1 2 0 0
15 16 0 0
3 4 0 0
17 18 0 0
3 17 4 18
3 4 0 0
17 18 0 0
5 6 0 0
19 20 0 0
5 19 6 20
5 6 0 0
19 20 0 0
7 8 0 0
21 22 0 0
7 21 8 22
7 8 0 0
21 22 0 0
9 10 0 0
23 24 0 0
9 23 10 24
9 10 0 0
23 24 0 0
11 12 0 0
25 26 0 0
11 25 12 26
11 12 0 0
25 26 0 0
13 14 0 0
27 28 0 0
13 27 14 28
13 14 0 0
27 28 0 0
2 3 0 0
16 17 0 0
2 16 3 17
2 3 0 0
16 17 0 0
4 5 0 0
18 19 0 0
4 18 5 19
4 5 0 0
18 19 0 0
6 7 0 0
20 21 0 0
6 20 7 21
6 7 0 0
20 21 0 0
8 9 0 0
22 23 0 0
8 22 9 23
8 9 0 0
22 23 0 0
10 11 0 0
24 25 0 0
10 24 11 25
10 11 0 0
24 25 0 0
12 13 0 0
26 27 0 0
12 26 13 27
12 13 0 0
26 27 0 0
